date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:24	252507/252507	---M--	200	added ('OK')	image/jpeg	etag:%22ce11e7-3da5b-589a0c75530d8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/portfolio/portfolio-5.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/portfolio/portfolio-5.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-stripes.html)
15:31:24	254704/254704	---M--	200	added ('OK')	image/jpeg	etag:%22d00026-3e2f0-589a0d4b10568%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/1.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/1.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:25	299006/299006	---M--	200	added ('OK')	image/jpeg	etag:%22d00029-48ffe-589a0d4c5e910%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/2.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/2.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:28	514353/514353	---M--	200	added ('OK')	image/jpeg	etag:%22d0002c-7d931-589a0d52a4c48%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/3.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/3.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:28	211700/211700	---M--	200	added ('OK')	image/jpeg	etag:%22d00051-33af4-589a0d57de6a0%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/3.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/3.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:29	22328/22328	---M--	200	added ('OK')	image/jpeg	etag:%22d00023-5738-589a0d49df298%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/1-thumb.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/1-thumb.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:29	40310/40310	---M--	200	added ('OK')	image/jpeg	etag:%22d0002b-9d76-589a0d4b63970%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/3-thumb.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/3-thumb.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:29	28841/28841	---M--	200	added ('OK')	image/jpeg	etag:%22d00050-70a9-589a0d54ed3d8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/3-thumb.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/3-thumb.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:29	470315/470315	---M--	200	added ('OK')	image/jpeg	etag:%22d0004d-72d2b-589a0d58e3e38%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/2.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/2.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:30	33094/33094	---M--	200	added ('OK')	image/jpeg	etag:%22d00028-8146-589a0d4a760a8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/2-thumb.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/family/2-thumb.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:30	28754/28754	---M--	200	added ('OK')	image/jpeg	etag:%22d0004b-7052-589a0d5711178%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/2-thumb.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/2-thumb.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:30	33589/33589	---M--	200	added ('OK')	image/jpeg	etag:%22d00042-8335-589a0d53377f0%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/1-thumb.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/1-thumb.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-vertical.html)
15:31:32	299687/299687	---M--	200	added ('OK')	image/jpeg	etag:%22d0005a-492a7-589a0d5fa84f8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/travel/2.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/travel/2.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-horizontal-scroll.html)
15:31:33	278208/278208	---M--	200	added ('OK')	image/jpeg	etag:%22d0006f-43ec0-589a0d638a738%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/wedding/3.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/wedding/3.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-horizontal-scroll.html)
15:31:34	244246/244246	---M--	200	added ('OK')	image/jpeg	etag:%22d0005d-3ba16-589a0d5dd2d40%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/travel/3.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/travel/3.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-full-width-grid.html)
